类别：所有类别

周,UNCITRAL: (全球)
2019-02-03,54
2019-02-10,68
2019-02-17,71
2019-02-24,79
2019-03-03,79
2019-03-10,90
2019-03-17,92
2019-03-24,93
2019-03-31,97
2019-04-07,78
2019-04-14,72
2019-04-21,80
2019-04-28,82
2019-05-05,83
2019-05-12,100
2019-05-19,65
2019-05-26,83
2019-06-02,73
2019-06-09,61
2019-06-16,53
2019-06-23,68
2019-06-30,66
2019-07-07,65
2019-07-14,70
2019-07-21,48
2019-07-28,45
2019-08-04,58
2019-08-11,75
2019-08-18,71
2019-08-25,74
2019-09-01,78
2019-09-08,71
2019-09-15,97
2019-09-22,87
2019-09-29,83
2019-10-06,80
2019-10-13,96
2019-10-20,86
2019-10-27,91
2019-11-03,85
2019-11-10,89
2019-11-17,82
2019-11-24,86
2019-12-01,93
2019-12-08,77
2019-12-15,85
2019-12-22,47
2019-12-29,45
2020-01-05,58
2020-01-12,82
2020-01-19,69
2020-01-26,68
2020-02-02,78
2020-02-09,77
2020-02-16,76
2020-02-23,87
2020-03-01,77
2020-03-08,55
2020-03-15,60
2020-03-22,66
2020-03-29,65
2020-04-05,57
2020-04-12,70
2020-04-19,61
2020-04-26,69
2020-05-03,78
2020-05-10,75
2020-05-17,63
2020-05-24,77
2020-05-31,76
2020-06-07,76
2020-06-14,65
2020-06-21,49
2020-06-28,63
2020-07-05,67
2020-07-12,56
2020-07-19,49
2020-07-26,55
2020-08-02,32
2020-08-09,56
2020-08-16,56
2020-08-23,56
2020-08-30,64
2020-09-06,61
2020-09-13,74
2020-09-20,77
2020-09-27,64
2020-10-04,71
2020-10-11,56
2020-10-18,87
2020-10-25,59
2020-11-01,53
2020-11-08,57
2020-11-15,57
2020-11-22,62
2020-11-29,65
2020-12-06,82
2020-12-13,59
2020-12-20,45
2020-12-27,44
2021-01-03,41
2021-01-10,51
2021-01-17,61
2021-01-24,64
2021-01-31,62
2021-02-07,71
2021-02-14,68
2021-02-21,65
2021-02-28,62
2021-03-07,76
2021-03-14,58
2021-03-21,74
2021-03-28,54
2021-04-04,61
2021-04-11,46
2021-04-18,71
2021-04-25,48
2021-05-02,54
2021-05-09,52
2021-05-16,77
2021-05-23,69
2021-05-30,57
2021-06-06,62
2021-06-13,61
2021-06-20,67
2021-06-27,56
2021-07-04,57
2021-07-11,52
2021-07-18,72
2021-07-25,66
2021-08-01,44
2021-08-08,55
2021-08-15,52
2021-08-22,42
2021-08-29,37
2021-09-05,73
2021-09-12,48
2021-09-19,69
2021-09-26,74
2021-10-03,59
2021-10-10,66
2021-10-17,78
2021-10-24,67
2021-10-31,65
2021-11-07,77
2021-11-14,71
2021-11-21,66
2021-11-28,64
2021-12-05,57
2021-12-12,53
2021-12-19,48
2021-12-26,33
2022-01-02,56
2022-01-09,79
2022-01-16,62
2022-01-23,80
2022-01-30,68
2022-02-06,83
2022-02-13,82
2022-02-20,99
2022-02-27,87
2022-03-06,82
2022-03-13,91
2022-03-20,92
2022-03-27,87
2022-04-03,77
2022-04-10,69
2022-04-17,89
2022-04-24,65
2022-05-01,58
2022-05-08,100
2022-05-15,75
2022-05-22,87
2022-05-29,86
2022-06-05,78
2022-06-12,71
2022-06-19,65
2022-06-26,55
2022-07-03,59
2022-07-10,61
2022-07-17,57
2022-07-24,46
2022-07-31,48
2022-08-07,63
2022-08-14,50
2022-08-21,65
2022-08-28,58
2022-09-04,67
2022-09-11,62
2022-09-18,91
2022-09-25,82
2022-10-02,67
2022-10-09,79
2022-10-16,84
2022-10-23,62
2022-10-30,80
2022-11-06,84
2022-11-13,76
2022-11-20,84
2022-11-27,76
2022-12-04,74
2022-12-11,55
2022-12-18,51
2022-12-25,41
2023-01-01,58
2023-01-08,69
2023-01-15,59
2023-01-22,74
2023-01-29,77
2023-02-05,70
2023-02-12,75
2023-02-19,67
2023-02-26,72
2023-03-05,62
2023-03-12,81
2023-03-19,86
2023-03-26,84
2023-04-02,59
2023-04-09,67
2023-04-16,76
2023-04-23,85
2023-04-30,65
2023-05-07,79
2023-05-14,73
2023-05-21,67
2023-05-28,70
2023-06-04,69
2023-06-11,69
2023-06-18,65
2023-06-25,49
2023-07-02,67
2023-07-09,67
2023-07-16,72
2023-07-23,73
2023-07-30,66
2023-08-06,72
2023-08-13,68
2023-08-20,45
2023-08-27,61
2023-09-03,63
2023-09-10,83
2023-09-17,84
2023-09-24,71
2023-10-01,76
2023-10-08,69
2023-10-15,77
2023-10-22,66
2023-10-29,63
2023-11-05,81
2023-11-12,76
2023-11-19,79
2023-11-26,85
2023-12-03,97
2023-12-10,66
2023-12-17,58
2023-12-24,24
2023-12-31,45
2024-01-07,56
2024-01-14,67
2024-01-21,63
2024-01-28,51
